club,age_mean,age_median,age_std,games_mean,games_median,games_std,games_starts_mean,games_starts_median,games_starts_std,minutes_mean,minutes_median,minutes_std,minutes_90s_mean,minutes_90s_median,minutes_90s_std,goals_mean,goals_median,goals_std,assists_mean,assists_median,assists_std,goals_assists_mean,goals_assists_median,goals_assists_std,goals_pens_mean,goals_pens_median,goals_pens_std,pens_made_mean,pens_made_median,pens_made_std,pens_att_mean,pens_att_median,pens_att_std,cards_yellow_mean,cards_yellow_median,cards_yellow_std,cards_red_mean,cards_red_median,cards_red_std,xg_mean,xg_median,xg_std,npxg_mean,npxg_median,npxg_std,xg_assist_mean,xg_assist_median,xg_assist_std,npxg_xg_assist_mean,npxg_xg_assist_median,npxg_xg_assist_std,progressive_carries_mean,progressive_carries_median,progressive_carries_std,progressive_passes_mean,progressive_passes_median,progressive_passes_std,progressive_passes_received_mean,progressive_passes_received_median,progressive_passes_received_std,goals_per90_mean,goals_per90_median,goals_per90_std,assists_per90_mean,assists_per90_median,assists_per90_std,goals_assists_per90_mean,goals_assists_per90_median,goals_assists_per90_std,goals_pens_per90_mean,goals_pens_per90_median,goals_pens_per90_std,goals_assists_pens_per90_mean,goals_assists_pens_per90_median,goals_assists_pens_per90_std,xg_per90_mean,xg_per90_median,xg_per90_std,xg_assist_per90_mean,xg_assist_per90_median,xg_assist_per90_std,xg_xg_assist_per90_mean,xg_xg_assist_per90_median,xg_xg_assist_per90_std,npxg_per90_mean,npxg_per90_median,npxg_per90_std,npxg_xg_assist_per90_mean,npxg_xg_assist_per90_median,npxg_xg_assist_per90_std
Arsenal,25.272727272727273,25.5,3.8195215130621523,25.318181818181817,25.5,8.202127271317593,19.0,18.5,10.770329614269007,1698.909090909091,1657.5,941.3754834633207,18.877272727272725,18.4,10.464130652043213,3.0454545454545454,2.5,2.9028274021041836,2.5,2.0,2.939873661036668,5.545454545454546,3.5,5.133709999111593,2.9545454545454546,2.0,2.869831133695977,0.09090909090909091,0.0,0.29424494316824984,0.09090909090909091,0.0,0.29424494316824984,3.1818181818181817,3.5,1.918242341221171,0.2727272727272727,0.0,0.5504818825631804,2.8181818181818183,1.8499999999999999,2.856177326033683,2.7454545454545456,1.8499999999999999,2.7854600838618886,2.1181818181818177,1.05,2.360919184118633,4.859090909090909,2.75,4.752108212944279,38.72727272727273,25.0,35.58515182352087,82.95454545454545,60.0,65.22085356892947,81.86363636363636,52.5,83.645109414743,0.17454545454545453,0.125,0.15894674977510317,0.13136363636363635,0.11,0.13826459983343375,0.3063636363636364,0.31,0.22421387439643756,0.17045454545454547,0.12,0.1581282563444796,0.3022727272727273,0.31,0.21791068109449097,0.15818181818181817,0.11,0.14361444295441955,0.12181818181818181,0.095,0.12331285661300936,0.27909090909090906,0.19,0.22185171132579037,0.1545454545454545,0.11,0.14043223319883555,0.2759090909090908,0.19,0.21722621719587495
Aston Villa,25.821428571428573,26.0,4.02817458362848,21.0,22.0,11.238162496435807,14.928571428571429,11.0,12.563700125622262,1339.392857142857,1129.5,1020.8061207905184,14.882142857142854,12.55,11.340457028200655,2.0,1.0,3.4210676262979227,1.6071428571428572,0.0,2.698961195421589,3.607142857142857,2.5,5.560037874333336,1.8928571428571428,1.0,3.130959925152357,0.10714285714285714,0.0,0.4162696521251859,0.21428571428571427,0.0,0.5681120688308978,2.7142857142857144,2.0,2.4014986502589935,0.14285714285714285,0.0,0.3563483225498992,2.0571428571428574,0.8500000000000001,3.082859251412747,1.8821428571428573,0.8500000000000001,2.792722496382149,1.5,0.55,2.080776208444731,3.382142857142857,2.05,4.174708113232329,25.714285714285715,22.0,24.893636168569703,48.0,35.5,50.32413455310005,47.535714285714285,22.5,55.69060173577874,0.16285714285714287,0.045,0.26922188484672505,0.08214285714285714,0.0,0.11425627927819702,0.24499999999999997,0.12,0.3151072715641335,0.15285714285714283,0.045,0.2614185963922279,0.23535714285714285,0.12,0.2990909949838398,0.18535714285714283,0.08,0.2321953542594738,0.09107142857142858,0.05,0.10045597103409093,0.275,0.20500000000000002,0.2788003400816248,0.1692857142857143,0.07,0.21195612004704376,0.2589285714285714,0.20500000000000002,0.2514305630632999
Bournemouth,25.041666666666668,25.0,4.048393848629749,23.666666666666668,28.5,10.97691913166843,17.375,19.5,12.873337798992013,1558.25,1764.5,1112.1033440405108,17.3125,19.6,12.363561907617006,2.375,1.0,3.70443330172869,1.7083333333333333,1.0,2.01038968030247,4.083333333333333,2.0,5.2329779257144295,2.125,1.0,3.1939140496453153,0.25,0.0,1.224744871391589,0.2916666666666667,0.0,1.2328534123049197,4.041666666666667,3.0,3.209756413169706,0.125,0.0,0.3378319623460881,2.725,1.1,3.702320071663643,2.4916666666666667,1.1,3.298737132095655,1.8375000000000001,1.05,1.9037291778529568,4.341666666666666,2.6,4.750552980779018,31.291666666666668,17.0,36.64456679184949,61.708333333333336,46.0,56.48815125213479,61.125,27.5,77.58715295941607,0.15583333333333335,0.04,0.21313226484706763,0.09375,0.05500000000000001,0.10789739489944583,0.25,0.19,0.27436884092324554,0.14625000000000002,0.04,0.20382883910814464,0.24041666666666664,0.19,0.26207332473228157,0.2004166666666667,0.07500000000000001,0.2262641620197347,0.12916666666666668,0.1,0.1451510956889756,0.3279166666666667,0.16999999999999998,0.3197278620907184,0.19125,0.07500000000000001,0.22105109580484267,0.31916666666666665,0.16999999999999998,0.3147105870846871
Brentford,25.09090909090909,24.0,3.8285778897664677,24.545454545454547,27.5,12.666894506950646,19.0,19.0,14.664502004760307,1702.3636363636363,1681.5,1238.9361621378293,18.90909090909091,18.700000000000003,13.76333670406407,2.9545454545454546,0.0,5.9078420258667546,2.0,1.5,2.5634797778466227,4.954545454545454,2.0,7.543381032574015,2.727272727272727,0.0,5.284134548067253,0.22727272727272727,0.0,1.066003581778052,0.2727272727272727,0.0,1.2792042981336627,2.8181818181818183,2.0,2.301890809465405,0.045454545454545456,0.0,0.2132007163556105,2.75,0.9,4.63010336200577,2.5318181818181817,0.9,4.256690684606481,1.9500000000000002,1.2,2.33681712714416,4.490909090909091,2.55,5.634917423733411,27.09090909090909,13.0,35.32692092429429,61.40909090909091,53.5,59.98385424897912,60.72727272727273,27.5,84.37906636024624,0.10818181818181817,0.0,0.1900785893515368,0.08636363636363636,0.08,0.09052994529806693,0.19409090909090912,0.125,0.23651556056549505,0.10227272727272728,0.0,0.17797623753057915,0.18818181818181817,0.125,0.22432197021323236,0.1177272727272727,0.065,0.1596105921470788,0.09363636363636364,0.08,0.08086116582469077,0.21136363636363634,0.15500000000000003,0.19630625865251264,0.11227272727272726,0.065,0.15433210381640713,0.20590909090909087,0.15500000000000003,0.1882414632456104
Brighton & Hove Albion,24.75,23.0,5.13250354043644,21.214285714285715,23.0,10.83327228310026,14.928571428571429,11.5,10.721831557978886,1339.642857142857,1056.0,946.3533994305492,14.889285714285714,11.75,10.512544157152666,2.2857142857142856,1.0,3.1723007523707563,1.4642857142857142,1.0,1.710147120748146,3.75,2.0,4.687453703475078,2.0357142857142856,1.0,2.755225914742717,0.25,0.0,0.9670497325294006,0.25,0.0,0.9670497325294006,2.7857142857142856,2.0,2.6297041497750113,0.10714285714285714,0.0,0.314970394174356,2.125,0.95,2.8078758282136813,1.9285714285714286,0.95,2.452490365874858,1.4392857142857138,1.05,1.4722970930348027,3.3642857142857143,2.0,3.639822369059633,29.071428571428573,20.5,32.50860691893031,54.607142857142854,47.5,52.60498447423392,54.142857142857146,28.0,68.04231487652822,0.1375,0.095,0.14584682477276048,0.09214285714285715,0.03,0.12482156576659052,0.22964285714285718,0.15500000000000003,0.2323069830881853,0.1242857142857143,0.095,0.12850792082313728,0.21642857142857144,0.15500000000000003,0.21229284954574887,0.1357142857142857,0.1,0.12154647248499223,0.10321428571428572,0.08,0.08009501632568433,0.23892857142857143,0.21,0.1777084438210267,0.12535714285714286,0.1,0.1045796574956371,0.2285714285714286,0.21,0.15985443113482703
Chelsea,23.0,23.0,2.2978250586152114,21.26923076923077,20.5,12.343606255248721,16.076923076923077,13.0,12.902474419809797,1441.6153846153845,1117.5,1125.1496283400916,16.015384615384615,12.4,12.505604897251226,2.3461538461538463,1.0,3.6654310272305786,1.8076923076923077,1.0,2.298159798956213,4.153846153846154,2.0,5.738935843463021,2.1923076923076925,1.0,3.162520902940953,0.15384615384615385,0.0,0.7844645405527361,0.19230769230769232,0.0,0.9805806756909203,3.8846153846153846,2.5,3.4097146282575976,0.07692307692307693,0.0,0.271746488194703,2.6653846153846152,0.8,4.277189947401664,2.5115384615384615,0.8,3.771824696146619,2.057692307692308,1.05,2.66085295751916,4.569230769230769,1.65,6.141776240194313,33.11538461538461,11.5,44.21251128183236,61.30769230769231,34.5,67.46718860647402,60.5,12.0,81.72160057169708,0.12615384615384614,0.06,0.15344254750431963,0.115,0.07,0.12646738710039043,0.24307692307692308,0.15000000000000002,0.2559338856934615,0.12192307692307693,0.06,0.14636992124802775,0.23884615384615387,0.15000000000000002,0.2497731278272652,0.15115384615384614,0.08,0.17360476774736164,0.14,0.08,0.14680599442802053,0.2907692307692308,0.15,0.2695466279057941,0.1469230769230769,0.08,0.16619913912579043,0.28576923076923083,0.15,0.261903387941784
Crystal Palace,25.681818181818183,26.0,3.386054926513739,25.136363636363637,31.0,12.06054351829593,18.863636363636363,19.0,14.119542197304837,1690.8636363636363,1743.0,1183.0935757964835,18.790909090909093,19.4,13.153087962289424,2.1818181818181817,1.0,3.567530340063379,1.7272727272727273,1.0,2.292468376098404,3.909090909090909,2.0,5.1446605784572865,2.0454545454545454,1.0,3.184445421214288,0.13636363636363635,0.0,0.4675625290960757,0.18181818181818182,0.0,0.5884898863364997,3.5,2.0,3.446875742023838,0.18181818181818182,0.0,0.3947710169758613,2.759090909090909,1.1,3.9202355481841593,2.6136363636363633,1.1,3.574019406580597,2.1318181818181823,1.3,2.44528435655561,4.736363636363637,2.85,5.532462248234372,22.727272727272727,12.0,24.6425528558916,51.95454545454545,45.5,41.88132584512404,51.45454545454545,13.5,68.01171276767757,0.13636363636363635,0.04,0.1830572498153425,0.09818181818181819,0.05,0.1478299010812077,0.23363636363636361,0.14500000000000002,0.3003735048639318,0.13136363636363635,0.04,0.17594088440494665,0.2290909090909091,0.14500000000000002,0.2957300746563952,0.15045454545454548,0.09,0.14878803308021377,0.11818181818181821,0.11,0.09027135619296825,0.2690909090909091,0.225,0.19822808149798626,0.14590909090909093,0.09,0.14100520391981117,0.2640909090909091,0.225,0.19067946404544464
Everton,26.727272727272727,25.5,4.9969687781391,24.5,25.5,9.743129447388627,18.954545454545453,17.0,11.21426503430966,1700.2272727272727,1582.5,960.536900053109,18.89545454545454,17.6,10.664023955637335,1.7727272727272727,1.0,2.505837340934319,1.2272727272727273,1.0,1.4778303975702638,3.0,2.0,2.8619008002508037,1.6818181818181819,1.0,2.254864870544482,0.09090909090909091,0.0,0.426401432711221,0.09090909090909091,0.0,0.426401432711221,3.6363636363636362,4.0,2.3613042107609887,0.09090909090909091,0.0,0.29424494316824984,1.9181818181818187,1.1,2.3400521694706202,1.8500000000000005,1.1,2.2285485346809413,1.4863636363636366,1.2999999999999998,1.3235218006175633,3.3454545454545452,2.7,2.750883368548966,22.045454545454547,15.0,22.239983883017608,47.22727272727273,46.0,37.55622048302647,46.18181818181818,26.5,43.52080658789088,0.09863636363636363,0.035,0.1331771271132817,0.08227272727272728,0.05,0.11351239991765188,0.18090909090909088,0.1,0.185238818592162,0.09545454545454546,0.035,0.12812669595541057,0.1777272727272727,0.1,0.1831453187832214,0.11272727272727275,0.045,0.1267611859695162,0.08318181818181819,0.07,0.07624436676373846,0.19636363636363638,0.13,0.1475690461330674,0.11,0.045,0.12474736374731438,0.19363636363636366,0.13,0.14610972571342384
Fulham,27.08695652173913,27.0,3.895370719646368,25.695652173913043,29.0,10.381078865848787,18.17391304347826,18.0,12.604660660078528,1632.3478260869565,1772.0,1057.4455330351386,18.134782608695645,19.7,11.752199356857428,2.3043478260869565,0.0,3.4959038707489922,1.9130434782608696,1.0,2.62701080522159,4.217391304347826,2.0,4.8799825049903465,2.1739130434782608,0.0,3.157274053141462,0.13043478260869565,0.0,0.6255432421712241,0.17391304347826086,0.0,0.650326764931116,3.4782608695652173,3.0,3.0876523181771396,0.08695652173913043,0.0,0.2881040655200304,2.1695652173913045,1.0,2.7870536385562668,2.0304347826086953,1.0,2.4031106323809666,1.6347826086956525,1.0,1.8939157837790543,3.6739130434782603,2.1,3.734387791045949,34.04347826086956,22.0,38.032854530200794,67.6086956521739,62.0,52.9242504395195,66.73913043478261,33.0,75.77071717377147,0.15130434782608695,0.0,0.22287999926226273,0.09391304347826088,0.08,0.1090762506620851,0.24608695652173915,0.1,0.28025538889368845,0.1465217391304348,0.0,0.21774899427076316,0.24130434782608695,0.1,0.27591672570848563,0.14695652173913046,0.11,0.14236428250374575,0.10739130434782605,0.09,0.08603473882441312,0.2530434782608695,0.26,0.18984287241172262,0.14217391304347826,0.11,0.1358460533016269,0.2478260869565217,0.26,0.18372302576876
Ipswich Town,25.533333333333335,25.5,3.1043166090454437,19.766666666666666,18.5,9.978194617068358,13.933333333333334,12.0,10.42521258638232,1245.7666666666667,1081.0,868.0861900372182,13.84,12.0,9.651035320556064,1.1666666666666667,0.0,2.3205726601992813,0.8666666666666667,0.5,1.0742546199601597,2.033333333333333,1.5,2.760351468542558,1.1,0.0,2.0060254063781153,0.06666666666666667,0.0,0.36514837167011066,0.06666666666666667,0.0,0.36514837167011066,3.1,2.0,2.8448380355085,0.16666666666666666,0.0,0.3790490217894517,1.1666666666666667,0.7,1.7817723321676544,1.1166666666666667,0.7,1.5518805795979704,0.8066666666666666,0.4,1.1227838964649075,1.9266666666666667,1.6,2.1990489062215106,17.1,10.5,21.627488894045673,31.1,23.0,29.766157594339155,30.633333333333333,15.0,40.13639103179896,0.08566666666666665,0.0,0.13808251739157787,0.06266666666666666,0.015,0.09066548342703232,0.14766666666666667,0.095,0.16923118921256464,0.08333333333333333,0.0,0.13272562659118617,0.14533333333333331,0.095,0.1647722217410182,0.09233333333333332,0.045,0.11306645386013371,0.05633333333333333,0.04,0.05720401079098137,0.14766666666666667,0.11,0.13474582287258183,0.09066666666666666,0.045,0.10991951078209324,0.146,0.11,0.13192474343744046
Leicester City,25.555555555555557,25.0,4.798504040390195,21.296296296296298,23.0,10.384214406102602,15.481481481481481,14.0,10.746628703459912,1391.2222222222222,1391.0,890.90974822772,15.455555555555554,15.5,9.90304278544006,1.2222222222222223,0.0,2.1543039806456377,0.9259259259259259,0.0,1.3846945213219115,2.1481481481481484,1.0,3.0090083173914715,1.1481481481481481,0.0,1.9553418686669153,0.07407407407407407,0.0,0.2668802563418119,0.1111111111111111,0.0,0.4236592728681617,3.2222222222222223,3.0,2.70801280154532,0.0,0.0,0.0,1.2185185185185188,0.4,2.2260757187061504,1.1296296296296298,0.4,1.9286932233659013,0.9333333333333333,0.4,1.1938947254195469,2.055555555555556,1.3,2.7888974018326165,21.333333333333332,14.0,23.219686607571735,40.03703703703704,32.0,36.88076576199148,39.55555555555556,19.0,42.3350494301874,0.06407407407407407,0.0,0.09712241519218687,0.05555555555555555,0.0,0.08491322871176442,0.11888888888888889,0.05,0.140118997046558,0.06111111111111111,0.0,0.09078009496043525,0.11592592592592592,0.05,0.13602203608972446,0.06925925925925926,0.05,0.08273804472903651,0.06481481481481481,0.03,0.08001780428660238,0.1337037037037037,0.07,0.12788661288417075,0.06592592592592593,0.05,0.07458909279199448,0.13000000000000003,0.07,0.12209706101168982
Liverpool,26.045454545454547,25.0,3.60525110052483,26.40909090909091,30.5,10.381572919218758,19.0,21.0,12.9320568835006,1704.4545454545455,1823.5,1070.0106687172943,18.945454545454545,20.25,11.895766644872623,3.8636363636363638,1.0,6.664014624015384,2.9545454545454546,2.0,3.92157976825512,6.818181818181818,3.5,10.358508642594325,3.4545454545454546,1.0,5.152228114656275,0.4090909090909091,0.0,1.918806447200494,0.4090909090909091,0.0,1.918806447200494,3.0454545454545454,2.5,2.3999458868358388,0.13636363636363635,0.0,0.3512500866571044,3.8227272727272723,1.75,5.780503505683633,3.5045454545454535,1.75,4.624930091901753,2.831818181818182,1.35,3.423502295218738,6.345454545454545,3.6,7.584679248811996,37.54545454545455,27.5,38.913490466157626,87.45454545454545,64.0,73.05883296079314,86.81818181818181,49.0,120.71715716762068,0.1636363636363636,0.06,0.21907914322379254,0.14181818181818182,0.135,0.14204748916291754,0.30500000000000005,0.175,0.3340052751223007,0.1527272727272727,0.06,0.19171362120129218,0.2940909090909091,0.175,0.3042658469623326,0.19454545454545455,0.07500000000000001,0.20986905833166938,0.13545454545454547,0.14500000000000002,0.10662472118993403,0.33045454545454545,0.265,0.28437864216781844,0.18636363636363634,0.07500000000000001,0.1933057152985901,0.32227272727272727,0.265,0.2645919017257982
Manchester City,25.76,25.0,4.9267974723275705,21.6,26.0,9.86154146165801,16.68,19.0,9.60780932366999,1498.6,1674.0,853.5777644714042,16.648,18.6,9.479280915062422,2.84,1.0,4.588754369833568,2.04,0.0,2.6689573494781316,4.88,3.0,5.55517776493246,2.72,1.0,4.077580982232807,0.12,0.0,0.6000000000000001,0.16,0.0,0.8,2.36,2.0,1.7767010628315238,0.08,0.0,0.27688746209726917,2.7920000000000003,1.4,4.419362699153201,2.6520000000000006,1.4,3.8436224233570773,2.1959999999999997,1.5,2.3751280667225783,4.836,3.0,5.285347670683548,45.76,39.0,49.58685981857156,77.48,64.0,67.18948330406081,76.68,32.0,84.7725977738876,0.17560000000000003,0.12,0.22289908030317218,0.0996,0.0,0.13538463723776048,0.276,0.27,0.24696490978814514,0.1716,0.12,0.21341821228127025,0.272,0.27,0.23844985496605642,0.16,0.08,0.1979688527689815,0.1188,0.06,0.12066896867049125,0.2776,0.23,0.26583641586509554,0.15560000000000002,0.08,0.18695097396554708,0.27320000000000005,0.23,0.25812981230380966
Manchester United,24.233333333333334,24.0,5.11713371637525,19.233333333333334,20.5,11.810817173204002,13.933333333333334,12.0,11.08255333872782,1248.6666666666667,1113.0,956.9166840586931,13.870000000000003,12.350000000000001,10.630280432282374,1.4,0.0,2.343001317202744,0.9666666666666667,0.0,2.141274730450151,2.3666666666666667,0.5,4.222136518589752,1.2666666666666666,0.0,2.1161665623339365,0.13333333333333333,0.0,0.5713464637233656,0.13333333333333333,0.0,0.5713464637233656,2.8666666666666667,2.5,2.6357402066177933,0.1,0.0,0.40257789993644866,1.7833333333333337,0.85,2.4010175046157545,1.6800000000000002,0.7,2.166102490649969,1.3266666666666669,0.6499999999999999,1.8783582951762614,3.0133333333333336,2.1500000000000004,3.8260210116528635,23.233333333333334,11.0,33.48255678999742,48.233333333333334,33.5,62.416666283013356,47.7,16.0,69.2482540549231,0.07233333333333333,0.0,0.11202473043879665,0.04200000000000001,0.0,0.08006032208537381,0.11466666666666668,0.015,0.1765323714249586,0.06666666666666667,0.0,0.10923979738782624,0.109,0.015,0.168058897721746,0.13366666666666666,0.07,0.15797169832366925,0.08133333333333331,0.065,0.08127150466962187,0.21366666666666667,0.125,0.1986416515918211,0.12899999999999998,0.07,0.1566315685800984,0.209,0.125,0.19312940096536668
Newcastle United,26.565217391304348,26.0,4.775182880424788,25.17391304347826,28.0,10.696865190381047,18.17391304347826,17.0,13.563494367110577,1632.0,1755.0,1131.2544123469952,18.1304347826087,19.5,12.561826545769843,2.869565217391304,0.0,5.207550006970536,2.1739130434782608,1.0,2.9642134310508306,5.043478260869565,2.0,7.400726382466946,2.652173913043478,0.0,4.498572456924267,0.21739130434782608,0.0,0.8504823091062899,0.2608695652173913,0.0,0.9153931745603203,2.9565217391304346,2.0,3.3094665990096463,0.043478260869565216,0.0,0.2085144140570748,2.8260869565217397,0.5,4.531527676513072,2.626086956521739,0.5,3.9245402036769454,2.0217391304347827,0.9,2.3954419827017555,4.656521739130434,2.8,5.660615617577339,33.0,18.0,36.742346141747674,69.34782608695652,75.0,67.74323763342942,68.78260869565217,22.0,77.43205615349565,0.14260869565217393,0.0,0.21959088802308438,0.09999999999999999,0.03,0.12328828005937954,0.2417391304347826,0.17,0.27749942135751376,0.13521739130434784,0.0,0.20382411234862166,0.2343478260869565,0.17,0.2623118561587008,0.14304347826086955,0.12,0.1513705502343863,0.10217391304347824,0.1,0.08511791402834981,0.24478260869565222,0.21,0.20575514055695582,0.1360869565217391,0.12,0.1338839093609488,0.23739130434782613,0.21,0.18988554905292404
Nottingham Forest,25.954545454545453,26.0,3.552025213435727,26.5,32.5,11.915376220505607,19.0,20.5,14.438704598273022,1707.6818181818182,1939.0,1204.8389889016246,18.977272727272727,21.55,13.382039556210508,2.590909090909091,1.0,4.447140235820799,1.9090909090909092,1.0,2.8769873612958885,4.5,1.5,6.246903995085048,2.4545454545454546,1.0,3.9002719407909514,0.13636363636363635,0.0,0.6396021490668313,0.13636363636363635,0.0,0.6396021490668313,4.090909090909091,3.5,3.462851713738547,0.09090909090909091,0.0,0.29424494316824984,2.122727272727273,1.45,3.024492372705561,2.0136363636363637,1.45,2.6137539969763712,1.5363636363636366,1.2,1.5840110192454184,3.540909090909091,2.4000000000000004,3.78665062340361,28.727272727272727,15.0,36.71016703362113,51.13636363636363,38.0,48.07166817768322,50.72727272727273,18.5,65.38543730262428,0.11636363636363636,0.06,0.15472080706397617,0.08590909090909092,0.05,0.10549922549519772,0.20136363636363636,0.14500000000000002,0.20072002425898652,0.11227272727272729,0.06,0.1416881827307455,0.19727272727272727,0.14500000000000002,0.19074245458912384,0.11181818181818182,0.07,0.13268783141667742,0.08318181818181819,0.055,0.0843680352264136,0.19454545454545452,0.135,0.17385618777016257,0.10863636363636364,0.07,0.12586067332931716,0.19136363636363637,0.135,0.1687572348938093
Southampton,25.566666666666666,25.5,4.423162648613767,19.6,19.5,11.11258993990212,13.9,13.0,10.476081130941521,1244.5666666666666,1161.5,907.7739230680174,13.830000000000002,12.9,10.080098179598492,0.8333333333333334,0.5,1.053183460893139,0.5333333333333333,0.0,0.9371024061116424,1.3666666666666667,1.0,1.5421286974634216,0.8333333333333334,0.5,1.053183460893139,0.0,0.0,0.0,0.06666666666666667,0.0,0.2537081317024625,2.8666666666666667,2.0,3.1702641392545945,0.1,0.0,0.4025778999364487,1.1,0.6,1.4460409685616173,1.04,0.6,1.3184630550706409,0.8300000000000001,0.6,0.9311283477587825,1.8766666666666667,1.15,1.8515014100087441,20.933333333333334,11.0,27.14575388569985,37.2,22.5,41.34580827688541,36.2,19.5,39.1569785034193,0.054000000000000006,0.015,0.07946371976330262,0.04066666666666666,0.0,0.09573430665787663,0.096,0.06,0.12563219442428786,0.054000000000000006,0.015,0.07946371976330262,0.096,0.06,0.12563219442428786,0.0813333333333333,0.04,0.0957271025411275,0.066,0.035,0.09072884953492487,0.14633333333333332,0.10500000000000001,0.12419349012128512,0.07733333333333331,0.04,0.08760937335040454,0.1423333333333333,0.10500000000000001,0.1182540611924417
Tottenham Hotspur,24.37037037037037,24.0,4.608922351500971,21.037037037037038,24.0,9.30459556216704,15.444444444444445,16.0,8.172812967080048,1387.7777777777778,1408.0,687.9796694968722,15.422222222222224,15.6,7.6434151314575915,2.259259259259259,1.0,3.3234897390520173,1.7037037037037037,1.0,2.3828685817859694,3.962962962962963,2.0,5.214487816735522,2.1481481481481484,1.0,3.207007995764944,0.1111111111111111,0.0,0.32025630761017426,0.14814814814814814,0.0,0.45604518194714877,2.6666666666666665,2.0,2.5115119565099246,0.037037037037037035,0.0,0.19245008972987523,2.218518518518519,0.7,3.07546582300796,2.103703703703704,0.7,2.9023175728109587,1.6666666666666663,0.9,2.081234840554631,3.766666666666666,1.8,4.4194500179930145,31.074074074074073,28.0,29.980668035259917,58.96296296296296,49.0,47.73523249814985,58.51851851851852,34.0,70.17142217476064,0.1262962962962963,0.05,0.1844565437283712,0.1062962962962963,0.07,0.13734146519779838,0.23333333333333334,0.13,0.26566317598967887,0.11962962962962964,0.05,0.18065013959162315,0.22666666666666668,0.13,0.2614603955889657,0.13592592592592592,0.05,0.16788868242561703,0.10148148148148149,0.08,0.11193073763935459,0.2388888888888889,0.13,0.24329996258707437,0.12925925925925924,0.05,0.1607656183566127,0.23222222222222225,0.13,0.23382000528567884
West Ham United,27.28,27.0,5.095095681142799,23.48,23.0,9.238145557054908,16.72,14.0,11.570508487817925,1500.32,1160.0,978.8316045163234,16.672,12.9,10.867018910446415,1.72,0.0,3.1559467676119,1.16,1.0,1.8411952639521967,2.88,1.0,4.675467891024384,1.6,0.0,2.972092416687835,0.12,0.0,0.439696865275764,0.12,0.0,0.439696865275764,3.28,2.0,2.922898105191718,0.12,0.0,0.33166247903553997,1.928,1.5,2.382491692885133,1.8319999999999999,1.5,2.2148589119851403,1.3679999999999999,1.2,1.5164981591372495,3.2119999999999997,2.8,3.505391086122441,25.28,12.0,32.62606320106672,48.88,38.0,44.45345880806127,48.52,29.0,62.89748272652359,0.08839999999999999,0.0,0.12518919016166427,0.07799999999999999,0.04,0.13444329659748752,0.1672,0.08,0.23938323528044592,0.08440000000000002,0.0,0.12158947322856531,0.1632,0.08,0.23758717698282172,0.1432,0.08,0.1586589633984373,0.10239999999999999,0.09,0.09566782809980234,0.24559999999999998,0.19,0.24180019299689018,0.14,0.08,0.15763882770434445,0.242,0.19,0.24022558842332625
Wolverhampton Wanderers,26.708333333333332,26.5,3.9615452262608524,23.75,27.0,10.653637876331258,17.333333333333332,15.5,11.860297916438132,1558.4166666666667,1387.0,966.0245706059928,17.3125,15.45,10.727466271617713,2.2083333333333335,1.0,3.977973775971737,1.75,1.0,2.345207879911715,3.9583333333333335,2.0,5.629728286490401,2.2083333333333335,1.0,3.977973775971737,0.0,0.0,0.0,0.0,0.0,0.0,3.2916666666666665,2.5,2.9851686525317076,0.08333333333333333,0.0,0.28232985128663995,1.8333333333333333,0.8,2.587035682627591,1.8333333333333333,0.8,2.587035682627591,1.4666666666666668,0.9,1.9209749939903518,3.320833333333333,1.65,4.162250558309162,25.083333333333332,12.5,30.225121521914396,49.0,35.5,46.132135361843794,48.458333333333336,31.5,52.73970467565553,0.11333333333333333,0.065,0.15392450624636872,0.09125,0.03,0.11847995611072785,0.20375000000000001,0.125,0.22787892475572658,0.11333333333333333,0.065,0.15392450624636872,0.20375000000000001,0.125,0.22787892475572658,0.10583333333333333,0.07500000000000001,0.11224649376403184,0.07416666666666667,0.05500000000000001,0.07459552770523974,0.18083333333333332,0.12,0.1714368096709249,0.10583333333333333,0.07500000000000001,0.11224649376403184,0.18083333333333332,0.12,0.1714368096709249
